checkpoint,status,scope,evidence,modified_files,next_checkpoint
0,completed,Baseline audit and immutable global contracts; no runtime behavior changes,Python modules parse; notebooks have no outputs; current local training remains model-per-series; code_01 already exports series_long CSV/Parquet; contract tests pass,global_contracts.py; tests/test_checkpoint_0_global_contracts.py; CHECKPOINT_0_BASELINE.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,1_global_long_schema
1,completed,Canonicalize and validate the global long dataset,16 tests pass; canonical schema and key mapping validated; CSV/Parquet/JSON outputs wired in code_01; local training files hash-identical to checkpoint 0,code_01.ipynb; global_long_schema.py; global_contracts.py; tests/test_checkpoint_1_global_long_schema.py; CHECKPOINT_1_GLOBAL_LONG_SCHEMA.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,2_global_window_dataset
2,completed,"Global window dataset, series split and balanced sampler",28 tests pass; context-only reversible scaling; deterministic disjoint unseen splits; causal exogenous alignment; balanced sampling by cross_key_id; protected pipeline files hash-identical to checkpoint 1,global_data.py; tests/test_checkpoint_2_global_window_dataset.py; CHECKPOINT_2_GLOBAL_WINDOW_DATASET.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,3_global_architectures
3,completed,Four global DRL architectures behind one strict direct multi-horizon contract,"39 tests pass; dataset-to-DataLoader integration works for all four architectures; direct [batch,horizon,1] output; identifiers excluded; masked targets isolated; VAE KL finite; bidirectionality limited to historical encoder; protected pipeline files hash-identical to checkpoint 2",global_models.py; tests/test_checkpoint_3_global_architectures.py; CHECKPOINT_3_GLOBAL_ARCHITECTURES.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,4_global_hpo_training
4,completed,Global HPO and one shared training cycle per architecture,48 tests pass; all four architectures train one shared state_dict; series-balanced batches; reproducible seeds; macro seen/unseen objective; one Optuna study returns one final global model; protected pipeline files unchanged,global_training.py; tests/test_checkpoint_4_global_hpo_training.py; CHECKPOINT_4_GLOBAL_HPO_TRAINING.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,5_curriculum_learning_with_replay
5,completed,Global warm-up and curriculum fine-tuning with series-balanced replay,56 tests pass; one continuous model and optimizer across stages; lower LR during fine-tuning; replay from prior levels; final all-level consolidation; seen/unseen macro validation; local notebooks and training pipeline unchanged,global_curriculum.py; global_data.py; tests/test_checkpoint_5_curriculum_learning_with_replay.py; CHECKPOINT_5_CURRICULUM_LEARNING_WITH_REPLAY.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,6_global_manager_and_persistence
6,completed,"Global manager, seen/unseen inference and reproducible single-model persistence",8 new tests pass; 56 inherited tests and protected modules remain byte-identical to the previously passing checkpoint 5 bundle; checkpoints 0-4 rerun successfully; exact forecast after save/load; checksum and state digest validated,global_manager.py; tests/test_checkpoint_6_global_manager_and_persistence.py; CHECKPOINT_6_GLOBAL_MANAGER_AND_PERSISTENCE.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,7_parameterized_global_notebook
7,completed,"Single parameterized global notebook with fixed identity split, temporal seen holdout and zero-shot test partition","7 new tests pass; full notebook synthetic smoke passes through HPO, curriculum, seen/unseen evaluation and persistence; nbformat valid; inherited checkpoint 6 files byte-identical",code_03_GLOBAL_DRL.ipynb; global_notebook.py; tests/test_checkpoint_7_parameterized_global_notebook.py; CHECKPOINT_7_PARAMETERIZED_GLOBAL_NOTEBOOK.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,8_seen_unseen_monitoring_and_final_gates
8,completed,"Seen/unseen monitoring, staged warm-up/fine-tuning, MC-Dropout backtest, future forecast, outliers, legacy visualisation and final architecture monitor",77 tests pass in two groups; continuous model and optimizer across warm-up/fine-tuning; train/test MC backtest; real future MC forecast; three legacy plots per cross_key_id; per-series architecture winner and ensemble; notebooks clean,global_curriculum.py; global_data.py; global_manager.py; global_monitoring.py; global_monitor.py; code_03_GLOBAL_DRL.ipynb; monitor_codigo_03_GLOBAL_DRL.ipynb; tests/test_checkpoint_8_monitoring_visualisation.py; CHECKPOINT_8_SEEN_UNSEEN_MONITORING_AND_FINAL_GATES.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,9_original_methodology_alignment
9,completed,"Fast proxy HPO, functional Hyperband pruning, stable context scaling and no duplicate refit",84 tests passed; HPO uses fixed AdamW/Huber/batch; 3 proxy epochs; 4 windows per series; one validation origin per series; raw macro sMAPE objective; Hyperband pruning; dataset cache; no duplicate refit; contextual robust scale contract; four local code_02 notebooks hash-identical,global_data.py; global_training.py; global_manager.py; global_notebook.py; code_03_GLOBAL_DRL.ipynb; tests/test_checkpoint_9_original_methodology_alignment.py; CHECKPOINT_9_ORIGINAL_METHODOLOGY_ALIGNMENT.md; GLOBAL_MODEL_CHECKPOINTS.csv; COMMIT_MESSAGE.txt,10_training_and_s3_save_load
